Planning Area,Subzone,Age,Sex,Count
Total,Total,Total,Total,"3,986,840"
Total,Total,Total,Males,"1,953,110"
Total,Total,Total,Females,"2,033,730"
Total,Total,0,Total,"31,610"
Total,Total,0,Males,"16,240"
Total,Total,0,Females,"15,370"
Total,Total,1,Total,"36,170"
Total,Total,1,Males,"18,410"
Total,Total,1,Females,"17,760"
Total,Total,2,Total,"36,090"
Total,Total,2,Males,"18,240"
Total,Total,2,Females,"17,860"
Total,Total,3,Total,"36,640"
Total,Total,3,Males,"18,740"
Total,Total,3,Females,"17,910"
Total,Total,4,Total,"37,920"
Total,Total,4,Males,"19,420"
Total,Total,4,Females,"18,500"
Total,Total,5,Total,"39,700"
Total,Total,5,Males,"20,420"
Total,Total,5,Females,"19,280"
Total,Total,6,Total,"40,260"
Total,Total,6,Males,"20,580"
Total,Total,6,Females,"19,680"
Total,Total,7,Total,"38,770"
Total,Total,7,Males,"19,820"
Total,Total,7,Females,"18,950"
Total,Total,8,Total,"40,400"
Total,Total,8,Males,"20,910"
Total,Total,8,Females,"19,480"
Total,Total,9,Total,"39,650"
Total,Total,9,Males,"20,250"
Total,Total,9,Females,"19,390"
Total,Total,10,Total,"37,510"
Total,Total,10,Males,"19,210"
Total,Total,10,Females,"18,300"
Total,Total,11,Total,"39,490"
Total,Total,11,Males,"20,100"
Total,Total,11,Females,"19,380"
Total,Total,12,Total,"40,380"
Total,Total,12,Males,"20,650"
Total,Total,12,Females,"19,740"
Total,Total,13,Total,"42,050"
Total,Total,13,Males,"21,350"
Total,Total,13,Females,"20,700"
Total,Total,14,Total,"40,570"
Total,Total,14,Males,"20,800"
Total,Total,14,Females,"19,760"
Total,Total,15,Total,"40,280"
Total,Total,15,Males,"20,520"
Total,Total,15,Females,"19,760"
Total,Total,16,Total,"39,950"
Total,Total,16,Males,"20,360"
Total,Total,16,Females,"19,600"
Total,Total,17,Total,"39,560"
Total,Total,17,Males,"20,300"
Total,Total,17,Females,"19,270"
Total,Total,18,Total,"42,070"
Total,Total,18,Males,"21,520"
Total,Total,18,Females,"20,540"
Total,Total,19,Total,"43,050"
Total,Total,19,Males,"22,230"
Total,Total,19,Females,"20,810"
Total,Total,20,Total,"47,960"
Total,Total,20,Males,"24,870"
Total,Total,20,Females,"23,100"
Total,Total,21,Total,"46,760"
Total,Total,21,Males,"24,230"
Total,Total,21,Females,"22,530"
Total,Total,22,Total,"44,830"
Total,Total,22,Males,"23,220"
Total,Total,22,Females,"21,620"
Total,Total,23,Total,"48,340"
Total,Total,23,Males,"24,640"
Total,Total,23,Females,"23,700"
Total,Total,24,Total,"49,830"
Total,Total,24,Males,"25,360"
Total,Total,24,Females,"24,470"
Total,Total,25,Total,"51,950"
Total,Total,25,Males,"26,260"
Total,Total,25,Females,"25,680"
Total,Total,26,Total,"53,790"
Total,Total,26,Males,"27,120"
Total,Total,26,Females,"26,670"
Total,Total,27,Total,"56,550"
Total,Total,27,Males,"28,200"
Total,Total,27,Females,"28,340"
Total,Total,28,Total,"57,510"
Total,Total,28,Males,"28,640"
Total,Total,28,Females,"28,880"
Total,Total,29,Total,"58,240"
Total,Total,29,Males,"28,320"
Total,Total,29,Females,"29,910"
Total,Total,30,Total,"61,870"
Total,Total,30,Males,"30,410"
Total,Total,30,Females,"31,450"
Total,Total,31,Total,"60,000"
Total,Total,31,Males,"29,240"
Total,Total,31,Females,"30,760"
Total,Total,32,Total,"65,460"
Total,Total,32,Males,"31,650"
Total,Total,32,Females,"33,810"
Total,Total,33,Total,"60,560"
Total,Total,33,Males,"29,190"
Total,Total,33,Females,"31,370"
Total,Total,34,Total,"53,180"
Total,Total,34,Males,"25,190"
Total,Total,34,Females,"27,990"
Total,Total,35,Total,"55,400"
Total,Total,35,Males,"26,470"
Total,Total,35,Females,"28,930"
Total,Total,36,Total,"57,760"
Total,Total,36,Males,"27,350"
Total,Total,36,Females,"30,410"
Total,Total,37,Total,"56,130"
Total,Total,37,Males,"26,520"
Total,Total,37,Females,"29,610"
Total,Total,38,Total,"59,860"
Total,Total,38,Males,"28,330"
Total,Total,38,Females,"31,520"
Total,Total,39,Total,"60,080"
Total,Total,39,Males,"28,680"
Total,Total,39,Females,"31,400"
Total,Total,40,Total,"59,500"
Total,Total,40,Males,"28,220"
Total,Total,40,Females,"31,270"
Total,Total,41,Total,"58,570"
Total,Total,41,Males,"28,000"
Total,Total,41,Females,"30,570"
Total,Total,42,Total,"58,580"
Total,Total,42,Males,"27,880"
Total,Total,42,Females,"30,700"
Total,Total,43,Total,"56,330"
Total,Total,43,Males,"26,960"
Total,Total,43,Females,"29,370"
Total,Total,44,Total,"59,790"
Total,Total,44,Males,"28,750"
Total,Total,44,Females,"31,040"
Total,Total,45,Total,"57,550"
